2016-06-22 19:16:02 1466594162763238974 [NOTIFY] state change to STOP
2016-06-22 19:17:53 1466594273580311173 [NOTIFY] state change to BACKUP
OK
2016-06-22 19:17:58 1466594278566045073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:03 1466594283554183273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:08 1466594288546060974 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:13 1466594293545004773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:18 1466594298544201773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:23 1466594303544635574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:28 1466594308545511164 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:33 1466594313545347573 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:38 1466594318546519373 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:43 1466594323546557369 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:48 1466594328547254273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:53 1466594333546890074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:18:58 1466594338548015073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:03 1466594343548644274 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:08 1466594348549192841 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:13 1466594353549736359 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:18 1466594358549944173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:23 1466594363549848673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:28 1466594368550457180 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:33 1466594373551536263 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:38 1466594378551597674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:43 1466594383551589273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:48 1466594388552014374 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:53 1466594393552518074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:19:58 1466594398552585574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:03 1466594403553727474 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:08 1466594408553674174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:13 1466594413553902456 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:18 1466594418553892633 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:23 1466594423553839373 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:28 1466594428554447354 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:33 1466594433554713257 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:38 1466594438555090473 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:43 1466594443555372867 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:48 1466594448555770573 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:53 1466594453555811073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:20:58 1466594458555504274 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:03 1466594463556340437 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:08 1466594468556177773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:13 1466594473556777674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:18 1466594478556803574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:23 1466594483556849474 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:28 1466594488556781173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:33 1466594493556959273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:38 1466594498557355446 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:43 1466594503557382180 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:48 1466594508559221273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:53 1466594513557763173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:21:58 1466594518558482974 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:03 1466594523558961473 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:08 1466594528560460673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:13 1466594533560947199 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:18 1466594538561610773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:23 1466594543561798799 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:28 1466594548562337173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:33 1466594553563250849 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:38 1466594558564145851 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:43 1466594563565196773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:48 1466594568565808976 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:22:53 1466594573567556575 [CHECK] File removed: /usr/local/keepalived/bin/status.tmp
2016-06-22 19:27:35 1466594855592426773 [NOTIFY] state change to MASTER
OK
2016-06-22 19:27:38 1466594858613946373 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:27:43 1466594863596648473 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:27:48 1466594868596828973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:27:53 1466594873596684774 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:27:58 1466594878597002171 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:03 1466594883599874873 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:08 1466594888597467574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:13 1466594893597608073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:18 1466594898597356081 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:23 1466594903597616673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:28 1466594908597587173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:33 1466594913597832255 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:38 1466594918597869274 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:43 1466594923599080074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:48 1466594928598371674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:53 1466594933598424174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:28:58 1466594938598524273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:03 1466594943598589273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:08 1466594948598711273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:13 1466594953598803273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:18 1466594958598949174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:23 1466594963599214674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
